"Rank","Player","Team","Position","Points","Games","Avg"
"413","C.J. Prosise","SEA","RB","17.0","4","4.3"
"414","Clive Walford","NYJ","TE","17.0","6","2.8"
"415","Branden Oliver","IND","RB","16.9","8","2.1"
"416","ArDarius Stewart","NYJ","WR","16.9","12","1.4"
"417","Stevan Ridley","PIT","RB","16.8","2","8.4"
"418","Cameron Artis-Payne","CAR","RB","16.7","7","2.4"
"419","Hunter Sharp","NYG","WR","16.4","3","5.5"
"420","Maurice Harris","WAS","WR","16.2","4","4.1"
"421","Darrius Heyward-Bey","PIT","WR","15.9","9","1.8"
"422","Lee Smith","OAK","TE","15.6","8","2.0"
"423","Terron Ward","FA","RB","15.3","5","3.1"
"424","Willie Snead","BAL","WR","15.2","8","1.9"
"425","Kaelin Clay","BUF","WR","15.2","13","1.2"
"426","Amara Darboh","SEA","WR","15.1","8","1.9"
"426","Derek Carrier","OAK","TE","15.1","9","1.7"
"427","Paxton Lynch","DEN","QB","15.1","2","7.6"
"428","Andy Janovich","DEN","RB","14.7","12","1.2"
"429","Freddie Martino","TB","WR","14.6","7","2.1"
"429","Roosevelt Nix","PIT","RB","14.6","10","1.5"
"430","Ross Travis","IND","TE","14.6","10","1.5"
"431","James Conner","PIT","RB","14.4","12","1.2"
"432","Mike Thomas","LAR","WR","14.3","5","2.9"
"433","Neal Sterling","NYJ","TE","14.2","5","2.8"
"433","Xavier Grimble","PIT","TE","14.2","8","1.8"
"434","EJ Manuel","OAK","QB","14.1","2","7.1"
"435","Marvin Hall","ATL","WR","14.0","6","2.3"
"436","Leonte Carroo","MIA","WR","13.9","4","3.5"
"436","Phillip Supernaw","FA","TE","13.9","9","1.5"
"437","Brian Quick","WAS","WR","13.6","6","2.3"
"438","Chris Thompson","HOU","WR","13.4","12","1.1"
"439","Trevor Davis","GB","WR","13.3","15","0.9"
"440","David Johnson","ARI","RB","13.1","1","13.1"
"441","Caleb Sturgis","LAC","K","13.0","1","13.0"
"441","Sammie Coates","HOU","WR","13.0","7","1.9"
"441","Luke Stocker","TEN","TE","13.0","4","3.3"
"441","Tyler Ervin","HOU","RB","13.0","4","3.3"
"442","De'Angelo Henderson","DEN","RB","12.9","3","4.3"
"443","Jaelen Strong","FA","WR","12.8","2","6.4"
"443","Byron Marshall","WAS","RB","12.8","4","3.2"
"444","Justin Hunter","PIT","WR","12.3","5","2.5"
"445","Tanner McEvoy","SEA","WR","12.3","9","1.4"
"446","Aaron Ripkowski","GB","RB","12.2","11","1.1"
"447","Lance Dunbar","FA","RB","12.2","2","6.1"
"448","Brittan Golden","FA","WR","12.0","9","1.3"
"449","Zach Line","NO","RB","11.6","8","1.5"
"450","Bryce Treggs","PHI","WR","11.5","6","1.9"
"451","Trey Edmunds","NO","RB","10.8","7","1.5"
"451","Ben Koyack","JAC","TE","10.8","6","1.8"
"452","Alan Cross","TB","TE","10.8","5","2.2"
"453","Patrick Mahomes","KC","QB","10.4","1","10.4"
"453","Nathan Peterman","BUF","QB","10.4","4","2.6"
"454","Sam Ficken","LAR","K","10.0","2","5.0"
"455","Ryan Mallett","FA","QB","9.9","2","5.0"
"456","James Develin","NE","RB","9.8","8","1.2"
